TipoTumor,Farmaco,Resultados
Gastrointestinal Carcinoid Tumor,CETUXIMAB,0
Gastrointestinal Carcinoid Tumor,PACLitaxel ALBUMINA,0
Gastrointestinal Carcinoid Tumor,AFLIBERCEPT,0
Gastrointestinal Carcinoid Tumor,SACITUZUMAB GOVITECAN,0
Gastrointestinal Carcinoid Tumor,eriBULina,0
Gastrointestinal Carcinoid Tumor,PACLITAXEL,2
Gastrointestinal Carcinoid Tumor,CLORURO DE SODIO,0
Gastrointestinal Carcinoid Tumor,ENCORAFENIB,0
Gastrointestinal Carcinoid Tumor,EVEROLIMUS,35
Gastrointestinal Carcinoid Tumor,VINORELBINA,0
Gastrointestinal Carcinoid Tumor,PEMETREXED,0
Gastrointestinal Carcinoid Tumor,BINIMETINIB,0
Gastrointestinal Carcinoid Tumor,CARBOPLATINO,4
Gastrointestinal Carcinoid Tumor,ABIRATERONA,0
Gastrointestinal Carcinoid Tumor,DENOSUMAB,0
Gastrointestinal Carcinoid Tumor,EVEROLIMUS,35
Gastrointestinal Carcinoid Tumor,FILGRASTIM,0
Gastrointestinal Carcinoid Tumor,FLUOROURACILO,40
Gastrointestinal Carcinoid Tumor,DOXORUBICINA,17
Gastrointestinal Carcinoid Tumor,GEMCITABINA,0
Gastrointestinal Carcinoid Tumor,REGORAFENIB,0
Gastrointestinal Carcinoid Tumor,SELPERCATINIB,0
Gastrointestinal Carcinoid Tumor,REMDESIVIR,0
Gastrointestinal Carcinoid Tumor,ENOXAPARINA,0
Gastrointestinal Carcinoid Tumor,IRINOTECAN,2
Gastrointestinal Carcinoid Tumor,NINTEDANIB,0
Gastrointestinal Carcinoid Tumor,PLERIXAFOR,0
Gastrointestinal Carcinoid Tumor,ALPELISIB,0
Gastrointestinal Carcinoid Tumor,RUCAPARIB,0
Gastrointestinal Carcinoid Tumor,ALBÚMINA,0
Gastrointestinal Carcinoid Tumor,TEMOZOLOMIDA,12
Gastrointestinal Carcinoid Tumor,OXALIPLATINO,8
Gastrointestinal Carcinoid Tumor,SOTORASIB,0
Ampullary Adenocarcinoma,PEMBROlizumab,2
Ampullary Adenocarcinoma,OSIMERTINIB,0
Ampullary Adenocarcinoma,NIVOlumab,2
Ampullary Adenocarcinoma,ABEMACICLIB,0
Ampullary Adenocarcinoma,EMTANSINA TRASTUZUMAB,0
Ampullary Adenocarcinoma,PERTuzumab,2
Ampullary Adenocarcinoma,PANItumumab,1
Ampullary Adenocarcinoma,ALECTINIB,0
Ampullary Adenocarcinoma,DABRAFENIB,0
Ampullary Adenocarcinoma,NIRAPARIB,0
Ampullary Adenocarcinoma,TRASTuzumab,2
Ampullary Adenocarcinoma,CABOZANTINIB,0
Ampullary Adenocarcinoma,DERUXTECAN TRASTUZUMAB,1
Ampullary Adenocarcinoma,RAMUCIRUMAB,0
Ampullary Adenocarcinoma,ATEZOlizumab,0
Ampullary Adenocarcinoma,BEVACIZUMAB,3
Ampullary Adenocarcinoma,OLAPARIB,0
Ampullary Adenocarcinoma,TRAMETINIB,0
Ampullary Adenocarcinoma,RIBOCICLIB,0
Ampullary Adenocarcinoma,DURVALUMAB,0
Ampullary Adenocarcinoma,LENVATINIB,0
Ampullary Adenocarcinoma,PALBOCICLIB,0
Ampullary Adenocarcinoma,TRIFLURIDINA TIPIRACILO,1
Ampullary Adenocarcinoma,IPILIMUMAB,1
Ampullary Adenocarcinoma,PAZOPANIB,0
Ampullary Adenocarcinoma,CRIZOTINIB,0
Ampullary Adenocarcinoma,TRABECTEDINA,0
Ampullary Adenocarcinoma,AVELumab,1
Ampullary Adenocarcinoma,LORLATINIB,0
Ampullary Adenocarcinoma,ENZALUTAMIDA,0
Ampullary Adenocarcinoma,AFATINIB,1
Ampullary Adenocarcinoma,CAPECITABINA,17
Ampullary Adenocarcinoma,CETUXIMAB,1
Ampullary Adenocarcinoma,PACLitaxel ALBUMINA,0
Ampullary Adenocarcinoma,AFLIBERCEPT,0
Ampullary Adenocarcinoma,SACITUZUMAB GOVITECAN,0
Ampullary Adenocarcinoma,eriBULina,0
Ampullary Adenocarcinoma,PACLITAXEL,3
Ampullary Adenocarcinoma,CLORURO DE SODIO,0
Ampullary Adenocarcinoma,ENCORAFENIB,0
Ampullary Adenocarcinoma,EVEROLIMUS,0
Ampullary Adenocarcinoma,VINORELBINA,0
Ampullary Adenocarcinoma,PEMETREXED,0
Ampullary Adenocarcinoma,BINIMETINIB,0
Ampullary Adenocarcinoma,CARBOPLATINO,3
Ampullary Adenocarcinoma,ABIRATERONA,0
Ampullary Adenocarcinoma,DENOSUMAB,0
Ampullary Adenocarcinoma,EVEROLIMUS,0
Ampullary Adenocarcinoma,FILGRASTIM,0
Ampullary Adenocarcinoma,FLUOROURACILO,34
Ampullary Adenocarcinoma,DOXORUBICINA,2
Ampullary Adenocarcinoma,GEMCITABINA,40
Ampullary Adenocarcinoma,REGORAFENIB,0
Ampullary Adenocarcinoma,SELPERCATINIB,0
Ampullary Adenocarcinoma,REMDESIVIR,0
Ampullary Adenocarcinoma,ENOXAPARINA,0
Ampullary Adenocarcinoma,IRINOTECAN,7
Ampullary Adenocarcinoma,NINTEDANIB,0
Ampullary Adenocarcinoma,PLERIXAFOR,0
Ampullary Adenocarcinoma,ALPELISIB,0
Ampullary Adenocarcinoma,RUCAPARIB,0
Ampullary Adenocarcinoma,ALBÚMINA,0
Ampullary Adenocarcinoma,TEMOZOLOMIDA,0
Ampullary Adenocarcinoma,OXALIPLATINO,14
Ampullary Adenocarcinoma,SOTORASIB,0
Duodenal Adenocarcinoma,PEMBROlizumab,16
Duodenal Adenocarcinoma,OSIMERTINIB,0
Duodenal Adenocarcinoma,NIVOlumab,7
Duodenal Adenocarcinoma,ABEMACICLIB,0
Duodenal Adenocarcinoma,EMTANSINA TRASTUZUMAB,0
Duodenal Adenocarcinoma,PERTuzumab,1
Duodenal Adenocarcinoma,PANItumumab,2
Duodenal Adenocarcinoma,ALECTINIB,0
Duodenal Adenocarcinoma,DABRAFENIB,1
Duodenal Adenocarcinoma,NIRAPARIB,0
Duodenal Adenocarcinoma,TRASTuzumab,20
Duodenal Adenocarcinoma,CABOZANTINIB,0
Duodenal Adenocarcinoma,DERUXTECAN TRASTUZUMAB,1
Duodenal Adenocarcinoma,RAMUCIRUMAB,1
Duodenal Adenocarcinoma,ATEZOlizumab,2
Duodenal Adenocarcinoma,BEVACIZUMAB,17
Duodenal Adenocarcinoma,OLAPARIB,0
Duodenal Adenocarcinoma,TRAMETINIB,3
Duodenal Adenocarcinoma,RIBOCICLIB,0
Duodenal Adenocarcinoma,DURVALUMAB,0
Duodenal Adenocarcinoma,LENVATINIB,2
Duodenal Adenocarcinoma,PALBOCICLIB,1
Duodenal Adenocarcinoma,TRIFLURIDINA TIPIRACILO,0
Duodenal Adenocarcinoma,IPILIMUMAB,5
Duodenal Adenocarcinoma,PAZOPANIB,2
Duodenal Adenocarcinoma,CRIZOTINIB,0
Duodenal Adenocarcinoma,TRABECTEDINA,0
Duodenal Adenocarcinoma,AVELumab,1
Duodenal Adenocarcinoma,LORLATINIB,0
Duodenal Adenocarcinoma,ENZALUTAMIDA,0
Duodenal Adenocarcinoma,AFATINIB,1
Duodenal Adenocarcinoma,CAPECITABINA,45
Duodenal Adenocarcinoma,CETUXIMAB,6
Duodenal Adenocarcinoma,PACLitaxel ALBUMINA,0
Duodenal Adenocarcinoma,AFLIBERCEPT,0
Duodenal Adenocarcinoma,SACITUZUMAB GOVITECAN,0
Duodenal Adenocarcinoma,eriBULina,0
Duodenal Adenocarcinoma,PACLITAXEL,24
Duodenal Adenocarcinoma,CLORURO DE SODIO,0
Duodenal Adenocarcinoma,ENCORAFENIB,0
Duodenal Adenocarcinoma,EVEROLIMUS,2
Duodenal Adenocarcinoma,VINORELBINA,0
Duodenal Adenocarcinoma,PEMETREXED,0
Duodenal Adenocarcinoma,BINIMETINIB,0
Duodenal Adenocarcinoma,CARBOPLATINO,9
Duodenal Adenocarcinoma,ABIRATERONA,0
Duodenal Adenocarcinoma,DENOSUMAB,0
Duodenal Adenocarcinoma,EVEROLIMUS,2
Duodenal Adenocarcinoma,FILGRASTIM,0
Duodenal Adenocarcinoma,FLUOROURACILO,187
Duodenal Adenocarcinoma,DOXORUBICINA,28
Duodenal Adenocarcinoma,GEMCITABINA,96
Duodenal Adenocarcinoma,REGORAFENIB,1
Duodenal Adenocarcinoma,SELPERCATINIB,0
Duodenal Adenocarcinoma,REMDESIVIR,0
Duodenal Adenocarcinoma,ENOXAPARINA,0
Duodenal Adenocarcinoma,IRINOTECAN,27
Duodenal Adenocarcinoma,NINTEDANIB,0
Duodenal Adenocarcinoma,PLERIXAFOR,0
Duodenal Adenocarcinoma,ALPELISIB,0
Duodenal Adenocarcinoma,RUCAPARIB,0
Duodenal Adenocarcinoma,ALBÚMINA,0
Duodenal Adenocarcinoma,TEMOZOLOMIDA,2
Duodenal Adenocarcinoma,OXALIPLATINO,48
Duodenal Adenocarcinoma,SOTORASIB,0
Rectal Adenocarcinoma,PEMBROlizumab,9
Rectal Adenocarcinoma,OSIMERTINIB,0
Rectal Adenocarcinoma,NIVOlumab,11
Rectal Adenocarcinoma,ABEMACICLIB,0
Rectal Adenocarcinoma,EMTANSINA TRASTUZUMAB,0
Rectal Adenocarcinoma,PERTuzumab,1
Rectal Adenocarcinoma,PANItumumab,31
Rectal Adenocarcinoma,ALECTINIB,1
Rectal Adenocarcinoma,DABRAFENIB,2
Rectal Adenocarcinoma,NIRAPARIB,0
Rectal Adenocarcinoma,TRASTuzumab,3
Rectal Adenocarcinoma,CABOZANTINIB,0
Rectal Adenocarcinoma,DERUXTECAN TRASTUZUMAB,0
Rectal Adenocarcinoma,RAMUCIRUMAB,2
Rectal Adenocarcinoma,ATEZOlizumab,1
Rectal Adenocarcinoma,BEVACIZUMAB,139
Rectal Adenocarcinoma,OLAPARIB,1
Rectal Adenocarcinoma,TRAMETINIB,2
Rectal Adenocarcinoma,RIBOCICLIB,0
Rectal Adenocarcinoma,DURVALUMAB,1
Rectal Adenocarcinoma,LENVATINIB,1
Rectal Adenocarcinoma,PALBOCICLIB,0
Rectal Adenocarcinoma,TRIFLURIDINA TIPIRACILO,3
Rectal Adenocarcinoma,IPILIMUMAB,3
Rectal Adenocarcinoma,PAZOPANIB,2
Rectal Adenocarcinoma,CRIZOTINIB,1
Rectal Adenocarcinoma,TRABECTEDINA,0
Rectal Adenocarcinoma,AVELumab,2
Rectal Adenocarcinoma,LORLATINIB,0
Rectal Adenocarcinoma,ENZALUTAMIDA,0
Rectal Adenocarcinoma,AFATINIB,1
Rectal Adenocarcinoma,CAPECITABINA,365
Rectal Adenocarcinoma,CETUXIMAB,63
Rectal Adenocarcinoma,PACLitaxel ALBUMINA,0
Rectal Adenocarcinoma,AFLIBERCEPT,4
Rectal Adenocarcinoma,SACITUZUMAB GOVITECAN,0
Rectal Adenocarcinoma,eriBULina,0
Rectal Adenocarcinoma,PACLITAXEL,22
Rectal Adenocarcinoma,CLORURO DE SODIO,0
Rectal Adenocarcinoma,ENCORAFENIB,0
Rectal Adenocarcinoma,EVEROLIMUS,0
Rectal Adenocarcinoma,VINORELBINA,1
Rectal Adenocarcinoma,PEMETREXED,6
Rectal Adenocarcinoma,BINIMETINIB,0
Rectal Adenocarcinoma,CARBOPLATINO,31
Rectal Adenocarcinoma,ABIRATERONA,0
Rectal Adenocarcinoma,DENOSUMAB,1
Rectal Adenocarcinoma,EVEROLIMUS,0
Rectal Adenocarcinoma,FILGRASTIM,0
Rectal Adenocarcinoma,FLUOROURACILO,1362
Rectal Adenocarcinoma,DOXORUBICINA,53
Rectal Adenocarcinoma,GEMCITABINA,14
Rectal Adenocarcinoma,REGORAFENIB,10
Rectal Adenocarcinoma,SELPERCATINIB,0
Rectal Adenocarcinoma,REMDESIVIR,0
Rectal Adenocarcinoma,ENOXAPARINA,0
Rectal Adenocarcinoma,IRINOTECAN,151
Rectal Adenocarcinoma,NINTEDANIB,0
Rectal Adenocarcinoma,PLERIXAFOR,0
Rectal Adenocarcinoma,ALPELISIB,0
Rectal Adenocarcinoma,RUCAPARIB,0
Rectal Adenocarcinoma,ALBÚMINA,0
Rectal Adenocarcinoma,TEMOZOLOMIDA,1
Rectal Adenocarcinoma,OXALIPLATINO,350
Rectal Adenocarcinoma,SOTORASIB,0
Gastric Lymphoma,PEMBROlizumab,0
Gastric Lymphoma,OSIMERTINIB,0
Gastric Lymphoma,NIVOlumab,0
Gastric Lymphoma,ABEMACICLIB,0
Gastric Lymphoma,EMTANSINA TRASTUZUMAB,0
Gastric Lymphoma,PERTuzumab,0
Gastric Lymphoma,PANItumumab,0
Gastric Lymphoma,ALECTINIB,0
Gastric Lymphoma,DABRAFENIB,0
Gastric Lymphoma,NIRAPARIB,0
Gastric Lymphoma,TRASTuzumab,0
Gastric Lymphoma,CABOZANTINIB,0
Gastric Lymphoma,DERUXTECAN TRASTUZUMAB,0
Gastric Lymphoma,RAMUCIRUMAB,0
Gastric Lymphoma,ATEZOlizumab,0
Gastric Lymphoma,BEVACIZUMAB,0
Gastric Lymphoma,OLAPARIB,0
Gastric Lymphoma,TRAMETINIB,0
Gastric Lymphoma,RIBOCICLIB,0
Gastric Lymphoma,DURVALUMAB,0
Gastric Lymphoma,LENVATINIB,0
Gastric Lymphoma,PALBOCICLIB,0
Gastric Lymphoma,TRIFLURIDINA TIPIRACILO,0
Gastric Lymphoma,IPILIMUMAB,0
Gastric Lymphoma,PAZOPANIB,0
Gastric Lymphoma,CRIZOTINIB,0
Gastric Lymphoma,TRABECTEDINA,0
Gastric Lymphoma,AVELumab,0
Gastric Lymphoma,LORLATINIB,0
Gastric Lymphoma,ENZALUTAMIDA,0
Gastric Lymphoma,AFATINIB,0
Gastric Lymphoma,CAPECITABINA,1
Gastric Lymphoma,CETUXIMAB,0
Gastric Lymphoma,PACLitaxel ALBUMINA,0
Gastric Lymphoma,AFLIBERCEPT,0
Gastric Lymphoma,SACITUZUMAB GOVITECAN,0
Gastric Lymphoma,eriBULina,0
Gastric Lymphoma,PACLITAXEL,1
Gastric Lymphoma,CLORURO DE SODIO,0
Gastric Lymphoma,ENCORAFENIB,0
Gastric Lymphoma,EVEROLIMUS,0
Gastric Lymphoma,VINORELBINA,0
Gastric Lymphoma,PEMETREXED,0
Gastric Lymphoma,BINIMETINIB,0
Gastric Lymphoma,CARBOPLATINO,1
Gastric Lymphoma,ABIRATERONA,0
Gastric Lymphoma,DENOSUMAB,0
Gastric Lymphoma,EVEROLIMUS,0
Gastric Lymphoma,FILGRASTIM,0
Gastric Lymphoma,FLUOROURACILO,1
Gastric Lymphoma,DOXORUBICINA,66
Gastric Lymphoma,GEMCITABINA,0
Gastric Lymphoma,REGORAFENIB,0
Gastric Lymphoma,SELPERCATINIB,0
Gastric Lymphoma,REMDESIVIR,0
Gastric Lymphoma,ENOXAPARINA,0
Gastric Lymphoma,IRINOTECAN,1
Gastric Lymphoma,NINTEDANIB,0
Gastric Lymphoma,PLERIXAFOR,0
Gastric Lymphoma,ALPELISIB,0
Gastric Lymphoma,RUCAPARIB,0
Gastric Lymphoma,ALBÚMINA,0
Gastric Lymphoma,TEMOZOLOMIDA,0
Gastric Lymphoma,OXALIPLATINO,1
Gastric Lymphoma,SOTORASIB,0
Colorectal Carcinoid Tumor,PEMBROlizumab,2
Colorectal Carcinoid Tumor,OSIMERTINIB,0
Colorectal Carcinoid Tumor,NIVOlumab,0
Colorectal Carcinoid Tumor,ABEMACICLIB,0
Colorectal Carcinoid Tumor,EMTANSINA TRASTUZUMAB,0
Colorectal Carcinoid Tumor,PERTuzumab,0
Colorectal Carcinoid Tumor,PANItumumab,0
Colorectal Carcinoid Tumor,ALECTINIB,0
Colorectal Carcinoid Tumor,DABRAFENIB,0
Colorectal Carcinoid Tumor,NIRAPARIB,0
Colorectal Carcinoid Tumor,TRASTuzumab,0
Colorectal Carcinoid Tumor,CABOZANTINIB,1
Colorectal Carcinoid Tumor,DERUXTECAN TRASTUZUMAB,0
Colorectal Carcinoid Tumor,RAMUCIRUMAB,0
Colorectal Carcinoid Tumor,ATEZOlizumab,0
Colorectal Carcinoid Tumor,BEVACIZUMAB,1
Colorectal Carcinoid Tumor,OLAPARIB,0
Colorectal Carcinoid Tumor,TRAMETINIB,0
Colorectal Carcinoid Tumor,RIBOCICLIB,0
Colorectal Carcinoid Tumor,DURVALUMAB,0
Colorectal Carcinoid Tumor,LENVATINIB,0
Colorectal Carcinoid Tumor,PALBOCICLIB,0
Colorectal Carcinoid Tumor,TRIFLURIDINA TIPIRACILO,0
Colorectal Carcinoid Tumor,IPILIMUMAB,0
Colorectal Carcinoid Tumor,PAZOPANIB,0
Colorectal Carcinoid Tumor,CRIZOTINIB,0
Colorectal Carcinoid Tumor,TRABECTEDINA,0
Colorectal Carcinoid Tumor,AVELumab,0
Colorectal Carcinoid Tumor,LORLATINIB,0
Colorectal Carcinoid Tumor,ENZALUTAMIDA,0
Colorectal Carcinoid Tumor,AFATINIB,0
Colorectal Carcinoid Tumor,CAPECITABINA,1
Colorectal Carcinoid Tumor,CETUXIMAB,1
Colorectal Carcinoid Tumor,PACLitaxel ALBUMINA,0
Colorectal Carcinoid Tumor,AFLIBERCEPT,0
Colorectal Carcinoid Tumor,SACITUZUMAB GOVITECAN,0
Colorectal Carcinoid Tumor,eriBULina,0
Colorectal Carcinoid Tumor,PACLITAXEL,1
Colorectal Carcinoid Tumor,CLORURO DE SODIO,0
Colorectal Carcinoid Tumor,ENCORAFENIB,0
Colorectal Carcinoid Tumor,EVEROLIMUS,1
Colorectal Carcinoid Tumor,VINORELBINA,0
Colorectal Carcinoid Tumor,PEMETREXED,0
Colorectal Carcinoid Tumor,BINIMETINIB,0
Colorectal Carcinoid Tumor,CARBOPLATINO,0
Colorectal Carcinoid Tumor,ABIRATERONA,0
Colorectal Carcinoid Tumor,DENOSUMAB,0
Colorectal Carcinoid Tumor,EVEROLIMUS,1
Colorectal Carcinoid Tumor,FILGRASTIM,0
Colorectal Carcinoid Tumor,FLUOROURACILO,11
Colorectal Carcinoid Tumor,DOXORUBICINA,3
Colorectal Carcinoid Tumor,GEMCITABINA,0
Colorectal Carcinoid Tumor,REGORAFENIB,1
Colorectal Carcinoid Tumor,SELPERCATINIB,1
Colorectal Carcinoid Tumor,REMDESIVIR,0
Colorectal Carcinoid Tumor,ENOXAPARINA,0
Colorectal Carcinoid Tumor,IRINOTECAN,1
Colorectal Carcinoid Tumor,NINTEDANIB,0
Colorectal Carcinoid Tumor,PLERIXAFOR,0
Colorectal Carcinoid Tumor,ALPELISIB,0
Colorectal Carcinoid Tumor,RUCAPARIB,0
Colorectal Carcinoid Tumor,ALBÚMINA,0
Colorectal Carcinoid Tumor,TEMOZOLOMIDA,1
Colorectal Carcinoid Tumor,OXALIPLATINO,1
Colorectal Carcinoid Tumor,SOTORASIB,0
Gastrointestinal Carcinoma In Situ,PEMBROlizumab,1
Gastrointestinal Carcinoma In Situ,OSIMERTINIB,0
Gastrointestinal Carcinoma In Situ,NIVOlumab,1
Gastrointestinal Carcinoma In Situ,ABEMACICLIB,0
Gastrointestinal Carcinoma In Situ,EMTANSINA TRASTUZUMAB,0
Gastrointestinal Carcinoma In Situ,PERTuzumab,0
Gastrointestinal Carcinoma In Situ,PANItumumab,0
Gastrointestinal Carcinoma In Situ,ALECTINIB,1
Gastrointestinal Carcinoma In Situ,DABRAFENIB,0
Gastrointestinal Carcinoma In Situ,NIRAPARIB,0
Gastrointestinal Carcinoma In Situ,TRASTuzumab,5
Gastrointestinal Carcinoma In Situ,CABOZANTINIB,1
Gastrointestinal Carcinoma In Situ,DERUXTECAN TRASTUZUMAB,1
Gastrointestinal Carcinoma In Situ,RAMUCIRUMAB,0
Gastrointestinal Carcinoma In Situ,ATEZOlizumab,2
Gastrointestinal Carcinoma In Situ,BEVACIZUMAB,2
Gastrointestinal Carcinoma In Situ,OLAPARIB,0
Gastrointestinal Carcinoma In Situ,TRAMETINIB,0
Gastrointestinal Carcinoma In Situ,RIBOCICLIB,0
Gastrointestinal Carcinoma In Situ,DURVALUMAB,0
Gastrointestinal Carcinoma In Situ,LENVATINIB,0
Gastrointestinal Carcinoma In Situ,PALBOCICLIB,0
Gastrointestinal Carcinoma In Situ,TRIFLURIDINA TIPIRACILO,0
Gastrointestinal Carcinoma In Situ,IPILIMUMAB,0
Gastrointestinal Carcinoma In Situ,PAZOPANIB,0
Gastrointestinal Carcinoma In Situ,CRIZOTINIB,7
Gastrointestinal Carcinoma In Situ,TRABECTEDINA,0
Gastrointestinal Carcinoma In Situ,AVELumab,1
Gastrointestinal Carcinoma In Situ,LORLATINIB,0
Gastrointestinal Carcinoma In Situ,ENZALUTAMIDA,0
Gastrointestinal Carcinoma In Situ,AFATINIB,1
Gastrointestinal Carcinoma In Situ,CAPECITABINA,0
Gastrointestinal Carcinoma In Situ,CETUXIMAB,1
Gastrointestinal Carcinoma In Situ,PACLitaxel ALBUMINA,0
Gastrointestinal Carcinoma In Situ,AFLIBERCEPT,0
Gastrointestinal Carcinoma In Situ,SACITUZUMAB GOVITECAN,0
Gastrointestinal Carcinoma In Situ,eriBULina,0
Gastrointestinal Carcinoma In Situ,PACLITAXEL,2
Gastrointestinal Carcinoma In Situ,CLORURO DE SODIO,0
Gastrointestinal Carcinoma In Situ,ENCORAFENIB,0
Gastrointestinal Carcinoma In Situ,EVEROLIMUS,0
Gastrointestinal Carcinoma In Situ,VINORELBINA,0
Gastrointestinal Carcinoma In Situ,PEMETREXED,0
Gastrointestinal Carcinoma In Situ,BINIMETINIB,0
Gastrointestinal Carcinoma In Situ,CARBOPLATINO,0
Gastrointestinal Carcinoma In Situ,ABIRATERONA,0
Gastrointestinal Carcinoma In Situ,DENOSUMAB,0
Gastrointestinal Carcinoma In Situ,EVEROLIMUS,0
Gastrointestinal Carcinoma In Situ,FILGRASTIM,0
Gastrointestinal Carcinoma In Situ,FLUOROURACILO,9
Gastrointestinal Carcinoma In Situ,DOXORUBICINA,5
Gastrointestinal Carcinoma In Situ,GEMCITABINA,4
Gastrointestinal Carcinoma In Situ,REGORAFENIB,0
Gastrointestinal Carcinoma In Situ,SELPERCATINIB,1
Gastrointestinal Carcinoma In Situ,REMDESIVIR,0
Gastrointestinal Carcinoma In Situ,ENOXAPARINA,0
Gastrointestinal Carcinoma In Situ,IRINOTECAN,0
Gastrointestinal Carcinoma In Situ,NINTEDANIB,0
Gastrointestinal Carcinoma In Situ,PLERIXAFOR,0
Gastrointestinal Carcinoma In Situ,ALPELISIB,0
Gastrointestinal Carcinoma In Situ,RUCAPARIB,0
Gastrointestinal Carcinoma In Situ,ALBÚMINA,0
Gastrointestinal Carcinoma In Situ,TEMOZOLOMIDA,0
Gastrointestinal Carcinoma In Situ,OXALIPLATINO,5
Gastrointestinal Carcinoma In Situ,SOTORASIB,0
Pancreatic Neuroendocrine Tumor,PEMBROlizumab,26
Pancreatic Neuroendocrine Tumor,OSIMERTINIB,0
Pancreatic Neuroendocrine Tumor,NIVOlumab,34
Pancreatic Neuroendocrine Tumor,ABEMACICLIB,0
Pancreatic Neuroendocrine Tumor,EMTANSINA TRASTUZUMAB,0
Pancreatic Neuroendocrine Tumor,PERTuzumab,2
Pancreatic Neuroendocrine Tumor,PANItumumab,0
Pancreatic Neuroendocrine Tumor,ALECTINIB,2
Pancreatic Neuroendocrine Tumor,DABRAFENIB,13
Pancreatic Neuroendocrine Tumor,NIRAPARIB,0
Pancreatic Neuroendocrine Tumor,TRASTuzumab,5
Pancreatic Neuroendocrine Tumor,CABOZANTINIB,11
Pancreatic Neuroendocrine Tumor,DERUXTECAN TRASTUZUMAB,0
Pancreatic Neuroendocrine Tumor,RAMUCIRUMAB,2
Pancreatic Neuroendocrine Tumor,ATEZOlizumab,5
Pancreatic Neuroendocrine Tumor,BEVACIZUMAB,66
Pancreatic Neuroendocrine Tumor,OLAPARIB,3
Pancreatic Neuroendocrine Tumor,TRAMETINIB,11
Pancreatic Neuroendocrine Tumor,RIBOCICLIB,1
Pancreatic Neuroendocrine Tumor,DURVALUMAB,5
Pancreatic Neuroendocrine Tumor,LENVATINIB,11
Pancreatic Neuroendocrine Tumor,PALBOCICLIB,6
Pancreatic Neuroendocrine Tumor,TRIFLURIDINA TIPIRACILO,0
Pancreatic Neuroendocrine Tumor,IPILIMUMAB,36
Pancreatic Neuroendocrine Tumor,PAZOPANIB,16
Pancreatic Neuroendocrine Tumor,CRIZOTINIB,3
Pancreatic Neuroendocrine Tumor,TRABECTEDINA,0
Pancreatic Neuroendocrine Tumor,AVELumab,3
Pancreatic Neuroendocrine Tumor,LORLATINIB,2
Pancreatic Neuroendocrine Tumor,ENZALUTAMIDA,0
Pancreatic Neuroendocrine Tumor,AFATINIB,1
Pancreatic Neuroendocrine Tumor,CAPECITABINA,136
Pancreatic Neuroendocrine Tumor,CETUXIMAB,6
Pancreatic Neuroendocrine Tumor,PACLitaxel ALBUMINA,0
Pancreatic Neuroendocrine Tumor,AFLIBERCEPT,3
Pancreatic Neuroendocrine Tumor,SACITUZUMAB GOVITECAN,0
Pancreatic Neuroendocrine Tumor,eriBULina,0
Pancreatic Neuroendocrine Tumor,PACLITAXEL,27
Pancreatic Neuroendocrine Tumor,CLORURO DE SODIO,0
Pancreatic Neuroendocrine Tumor,ENCORAFENIB,0
Pancreatic Neuroendocrine Tumor,EVEROLIMUS,462
Pancreatic Neuroendocrine Tumor,VINORELBINA,2
Pancreatic Neuroendocrine Tumor,PEMETREXED,1
Pancreatic Neuroendocrine Tumor,BINIMETINIB,0
Pancreatic Neuroendocrine Tumor,CARBOPLATINO,40
Pancreatic Neuroendocrine Tumor,ABIRATERONA,0
Pancreatic Neuroendocrine Tumor,DENOSUMAB,8
Pancreatic Neuroendocrine Tumor,EVEROLIMUS,462
Pancreatic Neuroendocrine Tumor,FILGRASTIM,1
Pancreatic Neuroendocrine Tumor,FLUOROURACILO,227
Pancreatic Neuroendocrine Tumor,DOXORUBICINA,76
Pancreatic Neuroendocrine Tumor,GEMCITABINA,54
Pancreatic Neuroendocrine Tumor,REGORAFENIB,4
Pancreatic Neuroendocrine Tumor,SELPERCATINIB,1
Pancreatic Neuroendocrine Tumor,REMDESIVIR,0
Pancreatic Neuroendocrine Tumor,ENOXAPARINA,0
Pancreatic Neuroendocrine Tumor,IRINOTECAN,38
Pancreatic Neuroendocrine Tumor,NINTEDANIB,3
Pancreatic Neuroendocrine Tumor,PLERIXAFOR,0
Pancreatic Neuroendocrine Tumor,ALPELISIB,3
Pancreatic Neuroendocrine Tumor,RUCAPARIB,0
Pancreatic Neuroendocrine Tumor,ALBÚMINA,0
Pancreatic Neuroendocrine Tumor,TEMOZOLOMIDA,172
Pancreatic Neuroendocrine Tumor,OXALIPLATINO,42
Pancreatic Neuroendocrine Tumor,SOTORASIB,0
Gastric Carcinoma In Situ,PEMBROlizumab,0
Gastric Carcinoma In Situ,OSIMERTINIB,1
Gastric Carcinoma In Situ,NIVOlumab,1
Gastric Carcinoma In Situ,ABEMACICLIB,0
Gastric Carcinoma In Situ,EMTANSINA TRASTUZUMAB,0
Gastric Carcinoma In Situ,PERTuzumab,1
Gastric Carcinoma In Situ,PANItumumab,0
Gastric Carcinoma In Situ,ALECTINIB,0
Gastric Carcinoma In Situ,DABRAFENIB,0
Gastric Carcinoma In Situ,NIRAPARIB,0
Gastric Carcinoma In Situ,TRASTuzumab,46
Gastric Carcinoma In Situ,CABOZANTINIB,1
Gastric Carcinoma In Situ,DERUXTECAN TRASTUZUMAB,0
Gastric Carcinoma In Situ,RAMUCIRUMAB,0
Gastric Carcinoma In Situ,ATEZOlizumab,0
Gastric Carcinoma In Situ,BEVACIZUMAB,0
