farmaco,term,count
trametinib,ASTHENIA,636
trametinib,MALAISE,604
trametinib,DECREASED APPETITE,524
trametinib,DRUG INEFFECTIVE,513
trametinib,ARTHRALGIA,481
trametinib,VISUAL IMPAIRMENT,453
trametinib,DISEASE PROGRESSION,443
trametinib,DYSPNOEA,435
trametinib,METASTATIC MALIGNANT MELANOMA,429
trametinib,OFF LABEL USE,420
trametinib,PAIN,420
trametinib,METASTASES TO CENTRAL NERVOUS SYSTEM,419
trametinib,MALIGNANT MELANOMA,395
trametinib,PNEUMONIA,388
trametinib,DEHYDRATION,382
trametinib,DIZZINESS,341
trametinib,COUGH,332
trametinib,GENERAL PHYSICAL HEALTH DETERIORATION,316
trametinib,CONSTIPATION,311
trametinib,VISION BLURRED,304
trametinib,PRURITUS,303
trametinib,ABDOMINAL PAIN,297
trametinib,ANAEMIA,297
trametinib,HYPOTENSION,294
trametinib,WEIGHT DECREASED,277
trametinib,BLOOD CREATINE PHOSPHOKINASE INCREASED,271
trametinib,PERIPHERAL SWELLING,267
trametinib,EJECTION FRACTION DECREASED,247
trametinib,PAIN IN EXTREMITY,246
trametinib,DRY SKIN,234
trametinib,DYSPHAGIA,226
trametinib,MYALGIA,226
trametinib,SEIZURE,226
trametinib,CONFUSIONAL STATE,225
trametinib,SEPSIS,225
trametinib,ASPARTATE AMINOTRANSFERASE INCREASED,221
trametinib,URINARY TRACT INFECTION,221
trametinib,UVEITIS,215
trametinib,INFECTION,212
trametinib,PRODUCT USE ISSUE,209
trametinib,NEUTROPENIA,205
trametinib,ALOPECIA,204
trametinib,ALANINE AMINOTRANSFERASE INCREASED,202
trametinib,ACUTE KIDNEY INJURY,200
trametinib,ACNE,195
trametinib,ERYTHEMA,195
trametinib,C-REACTIVE PROTEIN INCREASED,193
trametinib,NEOPLASM MALIGNANT,193
trametinib,FALL,191
trametinib,OEDEMA PERIPHERAL,190
trametinib,THROMBOCYTOPENIA,188
trametinib,TREMOR,187
trametinib,INAPPROPRIATE SCHEDULE OF PRODUCT ADMINISTRATION,177
trametinib,ABDOMINAL PAIN UPPER,174
trametinib,DRUG INTOLERANCE,165
trametinib,HYPERTENSION,160
trametinib,INCORRECT DOSE ADMINISTERED,160
trametinib,PULMONARY EMBOLISM,157
trametinib,BACK PAIN,156
trametinib,HEPATIC ENZYME INCREASED,150
trametinib,RENAL FAILURE,150
trametinib,SYNCOPE,148
trametinib,DERMATITIS ACNEIFORM,145
trametinib,GAIT DISTURBANCE,145
trametinib,ABDOMINAL DISCOMFORT,144
trametinib,METASTASES TO LIVER,143
trametinib,STOMATITIS,141
trametinib,HYPERHIDROSIS,136
trametinib,ILLNESS,136
trametinib,METASTASES TO LUNG,133
trametinib,PNEUMONITIS,132
trametinib,RHABDOMYOLYSIS,131
trametinib,BLOOD LACTATE DEHYDROGENASE INCREASED,128
trametinib,HYPONATRAEMIA,128
trametinib,ATRIAL FIBRILLATION,127
trametinib,PLEURAL EFFUSION,127
trametinib,FEELING ABNORMAL,126
trametinib,INFLUENZA LIKE ILLNESS,126
trametinib,SOMNOLENCE,124
trametinib,EPISTAXIS,121
trametinib,HYPERSENSITIVITY,121
trametinib,PLATELET COUNT DECREASED,120
trametinib,TOXICITY TO VARIOUS AGENTS,117
trametinib,CARDIAC FAILURE,115
trametinib,LYMPHADENOPATHY,115
trametinib,BLOOD CREATININE INCREASED,113
trametinib,HOSPITALISATION,111
trametinib,MUSCULAR WEAKNESS,111
trametinib,NEOPLASM PROGRESSION,111
ribociclib,NAUSEA,2714
ribociclib,NEUTROPENIA,2697
ribociclib,FATIGUE,2634
ribociclib,DEATH,2185
ribociclib,MALIGNANT NEOPLASM PROGRESSION,1811
ribociclib,VOMITING,1515
ribociclib,DIARRHOEA,1449
ribociclib,WHITE BLOOD CELL COUNT DECREASED,1307
ribociclib,PAIN,1223
ribociclib,DYSPNOEA,1157
ribociclib,METASTASES TO BONE,1138
ribociclib,BREAST CANCER METASTATIC,1126
ribociclib,MALAISE,1044
ribociclib,ALOPECIA,1028
ribociclib,ANAEMIA,1021
ribociclib,ASTHENIA,997
ribociclib,LEUKOPENIA,993
ribociclib,DECREASED APPETITE,971
ribociclib,RASH,946
ribociclib,PRURITUS,900
ribociclib,HEADACHE,896
ribociclib,ARTHRALGIA,877
ribociclib,DIZZINESS,816
ribociclib,COUGH,814
ribociclib,CONSTIPATION,795
ribociclib,GENERAL PHYSICAL HEALTH DETERIORATION,758
ribociclib,ELECTROCARDIOGRAM QT PROLONGED,746
ribociclib,BACK PAIN,738
ribociclib,METASTASES TO LIVER,737
ribociclib,DRUG INEFFECTIVE,734
ribociclib,PYREXIA,729
ribociclib,PAIN IN EXTREMITY,725
ribociclib,WEIGHT DECREASED,643
ribociclib,BREAST CANCER,609
ribociclib,ALANINE AMINOTRANSFERASE INCREASED,584
ribociclib,THROMBOCYTOPENIA,581
ribociclib,HAEMOGLOBIN DECREASED,574
ribociclib,DECREASED IMMUNE RESPONSIVENESS,571
ribociclib,ASPARTATE AMINOTRANSFERASE INCREASED,561
ribociclib,BONE PAIN,546
ribociclib,PLEURAL EFFUSION,521
ribociclib,NEUTROPHIL COUNT DECREASED,520
ribociclib,DISEASE PROGRESSION,512
ribociclib,METASTASES TO LUNG,468
ribociclib,PNEUMONIA,467
ribociclib,COVID-19,466
ribociclib,PLATELET COUNT DECREASED,447
ribociclib,FEELING ABNORMAL,442
ribociclib,DRY SKIN,435
ribociclib,ABDOMINAL PAIN UPPER,434
ribociclib,ABDOMINAL DISCOMFORT,429
ribociclib,PERIPHERAL SWELLING,429
ribociclib,BLOOD CREATININE INCREASED,428
ribociclib,INAPPROPRIATE SCHEDULE OF PRODUCT ADMINISTRATION,409
ribociclib,ABDOMINAL PAIN,406
ribociclib,INSOMNIA,384
ribociclib,HYPERTENSION,381
ribociclib,HEPATOTOXICITY,380
ribociclib,HYPERSENSITIVITY,368
ribociclib,ILLNESS,368
ribociclib,GAIT DISTURBANCE,367
ribociclib,NASOPHARYNGITIS,366
ribociclib,HOT FLUSH,363
ribociclib,URINARY TRACT INFECTION,358
ribociclib,FALL,347
ribociclib,HEPATIC ENZYME INCREASED,341
ribociclib,ANXIETY,326
ribociclib,METASTASIS,316
ribociclib,DRUG INTOLERANCE,310
ribociclib,OEDEMA PERIPHERAL,302
ribociclib,GAMMA-GLUTAMYLTRANSFERASE INCREASED,298
ribociclib,ERYTHEMA,297
ribociclib,PRODUCT DOSE OMISSION ISSUE,291
ribociclib,DYSPEPSIA,289
ribociclib,LIVER FUNCTION TEST INCREASED,286
ribociclib,TUMOUR MARKER INCREASED,286
ribociclib,CHEST PAIN,277
ribociclib,DEPRESSION,275
ribociclib,RENAL IMPAIRMENT,272
ribociclib,INFLUENZA,269
ribociclib,DYSPHAGIA,260
ribociclib,VISUAL IMPAIRMENT,258
ribociclib,RENAL FAILURE,256
ribociclib,ATRIAL FIBRILLATION,252
ribociclib,RED BLOOD CELL COUNT DECREASED,249
ribociclib,NEOPLASM MALIGNANT,244
ribociclib,OFF LABEL USE,237
ribociclib,TRANSAMINASES INCREASED,237
ribociclib,SOMNOLENCE,234
ribociclib,ASCITES,233
ribociclib,MEMORY IMPAIRMENT,231
ribociclib,BLOOD ALKALINE PHOSPHATASE INCREASED,229
ribociclib,METASTASES TO SPINE,228
ribociclib,DEHYDRATION,225
ribociclib,WEIGHT INCREASED,216
ribociclib,BLOOD BILIRUBIN INCREASED,215
ribociclib,PRODUCT USE IN UNAPPROVED INDICATION,214
ribociclib,PULMONARY EMBOLISM,214
ribociclib,DISCOMFORT,213
ribociclib,SKIN EXFOLIATION,210
durvalumab,DEATH,1630
durvalumab,MALIGNANT NEOPLASM PROGRESSION,874
durvalumab,RADIATION PNEUMONITIS,717
durvalumab,PNEUMONITIS,653
durvalumab,PYREXIA,407
durvalumab,DYSPNOEA,353
durvalumab,PNEUMONIA,349
durvalumab,DIARRHOEA,303
durvalumab,INTERSTITIAL LUNG DISEASE,293
durvalumab,FEBRILE NEUTROPENIA,255
durvalumab,FATIGUE,243
durvalumab,NEUTROPHIL COUNT DECREASED,219
durvalumab,COLITIS,211
durvalumab,METASTASES TO CENTRAL NERVOUS SYSTEM,205
durvalumab,OFF LABEL USE,202
durvalumab,RASH,186
durvalumab,PLATELET COUNT DECREASED,185
durvalumab,DISEASE PROGRESSION,168
durvalumab,NAUSEA,166
durvalumab,ANAEMIA,165
durvalumab,VOMITING,165
durvalumab,PLEURAL EFFUSION,160
durvalumab,SEPSIS,153
durvalumab,MYELOSUPPRESSION,152
durvalumab,HYPOTHYROIDISM,145
durvalumab,THROMBOCYTOPENIA,143
durvalumab,COUGH,141
durvalumab,DRUG-INDUCED LIVER INJURY,140
durvalumab,ASTHENIA,133
durvalumab,DECREASED APPETITE,129
durvalumab,DRUG INEFFECTIVE,128
durvalumab,HEPATIC FUNCTION ABNORMAL,125
durvalumab,LUNG DISORDER,125
durvalumab,MYOCARDITIS,122
durvalumab,ACUTE KIDNEY INJURY,119
durvalumab,RESPIRATORY FAILURE,117
durvalumab,ARTHRALGIA,108
durvalumab,NEUTROPENIA,106
durvalumab,ABDOMINAL PAIN,103
durvalumab,WHITE BLOOD CELL COUNT DECREASED,102
durvalumab,MALAISE,99
durvalumab,HEPATITIS,93
durvalumab,PRURITUS,93
durvalumab,DEHYDRATION,90
durvalumab,PULMONARY EMBOLISM,85
durvalumab,HYPOTENSION,82
durvalumab,MUSCULAR WEAKNESS,80
durvalumab,ADRENAL INSUFFICIENCY,79
durvalumab,GENERAL PHYSICAL HEALTH DETERIORATION,79
durvalumab,MYOSITIS,78
durvalumab,HYPERTHYROIDISM,77
durvalumab,PANCYTOPENIA,76
durvalumab,ALANINE AMINOTRANSFERASE INCREASED,72
durvalumab,CHILLS,72
durvalumab,LIVER DISORDER,72
durvalumab,METASTASES TO BONE,71
durvalumab,METASTASES TO LIVER,71
durvalumab,TOXICITY TO VARIOUS AGENTS,71
durvalumab,WEIGHT DECREASED,71
durvalumab,BILIARY TRACT INFECTION,69
durvalumab,PULMONARY TOXICITY,69
durvalumab,COVID-19,68
durvalumab,IMMUNE-MEDIATED HEPATITIS,68
durvalumab,CEREBROVASCULAR ACCIDENT,65
durvalumab,FALL,65
durvalumab,ASPARTATE AMINOTRANSFERASE INCREASED,63
durvalumab,DIABETES MELLITUS,63
durvalumab,MYALGIA,63
durvalumab,PNEUMOTHORAX,62
durvalumab,DIZZINESS,61
durvalumab,HEADACHE,61
durvalumab,PANCREATITIS,61
durvalumab,CONSTIPATION,60
durvalumab,IMMUNE-MEDIATED LUNG DISEASE,60
durvalumab,MYASTHENIA GRAVIS,60
durvalumab,NEOPLASM PROGRESSION,60
durvalumab,CONDITION AGGRAVATED,59
durvalumab,NEUROPATHY PERIPHERAL,58
durvalumab,PAIN,58
durvalumab,ATRIAL FIBRILLATION,57
durvalumab,CARDIAC FAILURE,57
durvalumab,BACK PAIN,56
durvalumab,CONFUSIONAL STATE,56
durvalumab,PERICARDIAL EFFUSION,56
durvalumab,CHOLANGITIS,55
durvalumab,HAEMOPTYSIS,55
durvalumab,PRODUCT USE IN UNAPPROVED INDICATION,53
durvalumab,URINARY TRACT INFECTION,53
durvalumab,DIABETIC KETOACIDOSIS,50
durvalumab,HYPERTENSION,50
durvalumab,INFECTION,49
durvalumab,INFUSION RELATED REACTION,49
durvalumab,EMBOLISM,48
durvalumab,RENAL FAILURE,48
durvalumab,IMMUNE-MEDIATED ENTEROCOLITIS,47
durvalumab,LIVER FUNCTION TEST INCREASED,47
durvalumab,PEMPHIGOID,47
durvalumab,ARTHRITIS,46
durvalumab,HYPOXIA,46
durvalumab,CARDIAC ARREST,45
lenvatinib,DIARRHOEA,3487
lenvatinib,HYPERTENSION,3175
lenvatinib,FATIGUE,3119
lenvatinib,DECREASED APPETITE,2728
lenvatinib,MALIGNANT NEOPLASM PROGRESSION,2218
lenvatinib,NAUSEA,2149
lenvatinib,BLOOD PRESSURE INCREASED,1989
lenvatinib,VOMITING,1716
lenvatinib,ASTHENIA,1395
lenvatinib,DEHYDRATION,1320
lenvatinib,WEIGHT DECREASED,1313
lenvatinib,MALAISE,1221
lenvatinib,PYREXIA,1128
lenvatinib,HEADACHE,1076
lenvatinib,HYPOTHYROIDISM,934
lenvatinib,PLATELET COUNT DECREASED,915
lenvatinib,PALMAR-PLANTAR ERYTHRODYSAESTHESIA SYNDROME,889
lenvatinib,STOMATITIS,878
lenvatinib,RASH,874
lenvatinib,PROTEINURIA,873
lenvatinib,ARTHRALGIA,848
lenvatinib,DYSPHONIA,833
lenvatinib,ABDOMINAL PAIN,801
lenvatinib,CONSTIPATION,782
lenvatinib,DEATH,772
lenvatinib,DYSPNOEA,730
lenvatinib,PAIN,627
lenvatinib,PNEUMONIA,582
lenvatinib,RENAL IMPAIRMENT,538
lenvatinib,DIZZINESS,534
lenvatinib,ABDOMINAL PAIN UPPER,518
lenvatinib,HEPATIC ENCEPHALOPATHY,468
lenvatinib,PAIN IN EXTREMITY,460
lenvatinib,HYPOTENSION,449
lenvatinib,BACK PAIN,445
lenvatinib,COUGH,433
lenvatinib,EPISTAXIS,427
lenvatinib,MYALGIA,418
lenvatinib,ANAEMIA,413
lenvatinib,ACUTE KIDNEY INJURY,404
lenvatinib,URINARY TRACT INFECTION,397
lenvatinib,INTERSTITIAL LUNG DISEASE,389
lenvatinib,OFF LABEL USE,378
lenvatinib,HEPATIC FUNCTION ABNORMAL,370
lenvatinib,DRUG INEFFECTIVE,364
lenvatinib,CARDIAC FAILURE,355
lenvatinib,CONFUSIONAL STATE,355
lenvatinib,ORAL PAIN,347
lenvatinib,ASCITES,332
lenvatinib,PULMONARY EMBOLISM,331
lenvatinib,PRURITUS,324
lenvatinib,DRY MOUTH,322
lenvatinib,THROMBOCYTOPENIA,322
lenvatinib,ABDOMINAL DISCOMFORT,314
lenvatinib,CEREBROVASCULAR ACCIDENT,309
lenvatinib,PERIPHERAL SWELLING,309
lenvatinib,HYPONATRAEMIA,292
lenvatinib,PRODUCT USE ISSUE,290
lenvatinib,RENAL FAILURE,283
lenvatinib,PRODUCT USE IN UNAPPROVED INDICATION,281
lenvatinib,ADRENAL INSUFFICIENCY,277
lenvatinib,COLITIS,275
lenvatinib,INSOMNIA,274
lenvatinib,PLEURAL EFFUSION,254
lenvatinib,FALL,252
lenvatinib,CHOLECYSTITIS,250
lenvatinib,PANCREATITIS,250
lenvatinib,BLOOD CREATININE INCREASED,247
lenvatinib,CHEST PAIN,246
lenvatinib,SEPSIS,245
lenvatinib,SOMNOLENCE,241
lenvatinib,BLOOD PRESSURE FLUCTUATION,225
lenvatinib,DYSPHAGIA,225
lenvatinib,OEDEMA PERIPHERAL,223
lenvatinib,MYOCARDIAL INFARCTION,221
lenvatinib,TASTE DISORDER,220
lenvatinib,GASTROINTESTINAL HAEMORRHAGE,218
lenvatinib,MUSCLE SPASMS,218
lenvatinib,OROPHARYNGEAL PAIN,211
lenvatinib,BLOOD BILIRUBIN INCREASED,207
lenvatinib,FEELING ABNORMAL,204
lenvatinib,HEPATIC FAILURE,203
lenvatinib,GENERAL PHYSICAL HEALTH DETERIORATION,200
lenvatinib,AMMONIA INCREASED,199
lenvatinib,INFECTION,198
lenvatinib,GAIT DISTURBANCE,195
lenvatinib,ASPARTATE AMINOTRANSFERASE INCREASED,192
lenvatinib,LIVER DISORDER,184
lenvatinib,HEPATIC ENZYME INCREASED,183
lenvatinib,PNEUMONITIS,183
lenvatinib,PNEUMOTHORAX,183
lenvatinib,BLOOD THYROID STIMULATING HORMONE INCREASED,182
lenvatinib,ALANINE AMINOTRANSFERASE INCREASED,181
lenvatinib,DRY SKIN,179
lenvatinib,ABDOMINAL DISTENSION,177
lenvatinib,HYPERTHYROIDISM,177
lenvatinib,BLISTER,176
lenvatinib,CEREBRAL HAEMORRHAGE,175
lenvatinib,HAEMORRHAGE,171
lenvatinib,SEIZURE,164
palbociclib,FATIGUE,13937
palbociclib,WHITE BLOOD CELL COUNT DECREASED,10258
palbociclib,NEOPLASM PROGRESSION,10207
palbociclib,NAUSEA,7603
palbociclib,DEATH,7415
palbociclib,ALOPECIA,5754
palbociclib,NEUTROPENIA,5749
palbociclib,DIARRHOEA,5193
palbociclib,ASTHENIA,3397
palbociclib,PAIN,3139
palbociclib,DECREASED APPETITE,3136
palbociclib,MALAISE,3058
palbociclib,DYSPNOEA,2974
palbociclib,VOMITING,2859
palbociclib,OFF LABEL USE,2823
palbociclib,ARTHRALGIA,2737
palbociclib,CONSTIPATION,2514
palbociclib,STOMATITIS,2509
palbociclib,HEADACHE,2486
palbociclib,DIZZINESS,2233
palbociclib,DISEASE PROGRESSION,2148
palbociclib,COUGH,2080
palbociclib,RASH,2076
palbociclib,PLATELET COUNT DECREASED,2064
palbociclib,PRODUCT DOSE OMISSION ISSUE,2062
palbociclib,NEUTROPHIL COUNT DECREASED,2006
palbociclib,ANAEMIA,1947
palbociclib,WEIGHT DECREASED,1749
palbociclib,HOT FLUSH,1732
palbociclib,MALIGNANT NEOPLASM PROGRESSION,1716
palbociclib,BACK PAIN,1682
palbociclib,FULL BLOOD COUNT DECREASED,1673
palbociclib,PYREXIA,1633
palbociclib,RED BLOOD CELL COUNT DECREASED,1573
palbociclib,PRURITUS,1549
palbociclib,PAIN IN EXTREMITY,1543
palbociclib,HAEMOGLOBIN DECREASED,1500
palbociclib,PRODUCT USE ISSUE,1455
palbociclib,PNEUMONIA,1324
palbociclib,INSOMNIA,1311
palbociclib,COVID-19,1301
palbociclib,LEUKOPENIA,1301
palbociclib,DRY SKIN,1284
palbociclib,THROMBOCYTOPENIA,1230
palbociclib,NEUROPATHY PERIPHERAL,1223
palbociclib,NASOPHARYNGITIS,1217
palbociclib,ABDOMINAL DISCOMFORT,1212
palbociclib,MEMORY IMPAIRMENT,1211
palbociclib,EPISTAXIS,1210
palbociclib,BLOOD COUNT ABNORMAL,1178
palbociclib,FEELING ABNORMAL,1152
palbociclib,BONE PAIN,1141
palbociclib,FALL,1103
palbociclib,URINARY TRACT INFECTION,1092
palbociclib,ILLNESS,1081
palbociclib,FULL BLOOD COUNT ABNORMAL,1029
palbociclib,PERIPHERAL SWELLING,1021
palbociclib,DRUG INEFFECTIVE,1016
palbociclib,BONE MARROW FAILURE,957
palbociclib,CONDITION AGGRAVATED,953
palbociclib,ABDOMINAL PAIN UPPER,935
palbociclib,ANXIETY,915
palbociclib,PRODUCT USE IN UNAPPROVED INDICATION,908
palbociclib,HYPOAESTHESIA,903
palbociclib,WEIGHT INCREASED,887
palbociclib,BREAST CANCER METASTATIC,860
palbociclib,HYPOACUSIS,841
palbociclib,DEHYDRATION,828
palbociclib,METASTASES TO BONE,814
palbociclib,MYALGIA,806
palbociclib,TUMOUR MARKER INCREASED,795
palbociclib,GAIT DISTURBANCE,794
palbociclib,PLEURAL EFFUSION,786
palbociclib,DEPRESSION,774
palbociclib,SOMNOLENCE,771
palbociclib,MUSCLE SPASMS,765
palbociclib,PARAESTHESIA,739
palbociclib,DYSPEPSIA,733
palbociclib,INFECTION,727
palbociclib,ORAL PAIN,721
palbociclib,ABDOMINAL PAIN,720
palbociclib,DYSPHAGIA,711
palbociclib,CONFUSIONAL STATE,651
palbociclib,OROPHARYNGEAL PAIN,641
palbociclib,CHILLS,620
palbociclib,BREAST CANCER,618
palbociclib,METASTASES TO LIVER,597
palbociclib,DYSGEUSIA,586
palbociclib,THERAPY CESSATION,580
palbociclib,SECOND PRIMARY MALIGNANCY,577
palbociclib,PULMONARY EMBOLISM,564
palbociclib,CHEST PAIN,563
palbociclib,THROMBOSIS,561
palbociclib,CONTUSION,560
palbociclib,PANCYTOPENIA,544
palbociclib,CEREBROVASCULAR ACCIDENT,543
palbociclib,DRY MOUTH,540
palbociclib,DRUG DOSE OMISSION,537
palbociclib,HYPERTENSION,537
palbociclib,INFLUENZA,536
trifluridine tipiracil,NEUTROPENIA,58
trifluridine tipiracil,DIARRHOEA,57
trifluridine tipiracil,ANAEMIA,33
trifluridine tipiracil,THROMBOCYTOPENIA,29
trifluridine tipiracil,FATIGUE,25
trifluridine tipiracil,NAUSEA,24
trifluridine tipiracil,NEUROTOXICITY,23
trifluridine tipiracil,DISEASE PROGRESSION,22
trifluridine tipiracil,VOMITING,20
trifluridine tipiracil,ASTHENIA,18
trifluridine tipiracil,HAEMATOTOXICITY,17
trifluridine tipiracil,HYPERTENSION,17
trifluridine tipiracil,COLORECTAL CANCER METASTATIC,15
trifluridine tipiracil,NEUROPATHY PERIPHERAL,15
trifluridine tipiracil,DECREASED APPETITE,14
trifluridine tipiracil,FEBRILE NEUTROPENIA,14
trifluridine tipiracil,DEATH,13
trifluridine tipiracil,PALMAR-PLANTAR ERYTHRODYSAESTHESIA SYNDROME,13
trifluridine tipiracil,STOMATITIS,13
trifluridine tipiracil,DRUG INTOLERANCE,11
trifluridine tipiracil,LEUKOPENIA,11
trifluridine tipiracil,DRUG INEFFECTIVE,10
trifluridine tipiracil,PROTEINURIA,9
trifluridine tipiracil,GASTROINTESTINAL TOXICITY,8
trifluridine tipiracil,MALIGNANT NEOPLASM PROGRESSION,8
trifluridine tipiracil,PNEUMONIA,7
trifluridine tipiracil,SKIN TOXICITY,7
trifluridine tipiracil,TOXICITY TO VARIOUS AGENTS,7
trifluridine tipiracil,ABDOMINAL PAIN,6
trifluridine tipiracil,ALOPECIA,6
trifluridine tipiracil,CLOSTRIDIUM DIFFICILE INFECTION,6
trifluridine tipiracil,INFECTION,6
trifluridine tipiracil,PYREXIA,6
trifluridine tipiracil,THERAPEUTIC PRODUCT EFFECT INCOMPLETE,6
trifluridine tipiracil,TRANSIENT ISCHAEMIC ATTACK,6
trifluridine tipiracil,WEIGHT DECREASED,6
trifluridine tipiracil,CONJUNCTIVITIS,5
trifluridine tipiracil,METASTASES TO LIVER,5
trifluridine tipiracil,METASTASES TO LUNG,5
trifluridine tipiracil,MUCOSAL INFLAMMATION,5
trifluridine tipiracil,MUSCLE SPASMS,5
trifluridine tipiracil,NEUTROPHIL COUNT DECREASED,5
trifluridine tipiracil,OFF LABEL USE,5
trifluridine tipiracil,THERAPY PARTIAL RESPONDER,5
trifluridine tipiracil,TOXIC CARDIOMYOPATHY,5
trifluridine tipiracil,ACUTE KIDNEY INJURY,4
trifluridine tipiracil,BLOOD BILIRUBIN INCREASED,4
trifluridine tipiracil,CIRCULATORY COLLAPSE,4
trifluridine tipiracil,HEPATOTOXICITY,4
trifluridine tipiracil,IGA NEPHROPATHY,4
trifluridine tipiracil,METABOLIC ACIDOSIS,4
trifluridine tipiracil,MUCOSAL TOXICITY,4
trifluridine tipiracil,MYELOSUPPRESSION,4
trifluridine tipiracil,PERIPHERAL SENSORY NEUROPATHY,4
trifluridine tipiracil,ALANINE AMINOTRANSFERASE INCREASED,3
trifluridine tipiracil,ANAL INFLAMMATION,3
trifluridine tipiracil,ASCITES,3
trifluridine tipiracil,BLOOD LACTATE DEHYDROGENASE INCREASED,3
trifluridine tipiracil,CONSTIPATION,3
trifluridine tipiracil,DISEASE RECURRENCE,3
trifluridine tipiracil,DYSAESTHESIA,3
trifluridine tipiracil,FACIAL BONES FRACTURE,3
trifluridine tipiracil,FALL,3
trifluridine tipiracil,HAEMORRHAGE,3
trifluridine tipiracil,HEADACHE,3
trifluridine tipiracil,LOSS OF CONSCIOUSNESS,3
trifluridine tipiracil,METABOLIC DISORDER,3
trifluridine tipiracil,METASTASES TO PERITONEUM,3
trifluridine tipiracil,PALPITATIONS,3
trifluridine tipiracil,PHOTOPHOBIA,3
trifluridine tipiracil,PLATELET COUNT DECREASED,3
trifluridine tipiracil,PNEUMONITIS,3
trifluridine tipiracil,PULMONARY EMBOLISM,3
trifluridine tipiracil,WHITE BLOOD CELL COUNT DECREASED,3
trifluridine tipiracil,ANAPHYLACTIC REACTION,2
trifluridine tipiracil,BACK PAIN,2
trifluridine tipiracil,BLOOD PRESSURE INCREASED,2
trifluridine tipiracil,CARDIAC DISORDER,2
trifluridine tipiracil,CONDITION AGGRAVATED,2
trifluridine tipiracil,DRY SKIN,2
trifluridine tipiracil,DYSGEUSIA,2
trifluridine tipiracil,DYSPNOEA,2
trifluridine tipiracil,EPISTAXIS,2
trifluridine tipiracil,FUNCTIONAL GASTROINTESTINAL DISORDER,2
trifluridine tipiracil,GASTRIC CANCER,2
trifluridine tipiracil,GASTROINTESTINAL DISORDER,2
trifluridine tipiracil,GASTROINTESTINAL PERFORATION,2
trifluridine tipiracil,HYPOKALAEMIA,2
trifluridine tipiracil,LYMPHOPENIA,2
trifluridine tipiracil,OBSTRUCTIVE PANCREATITIS,2
trifluridine tipiracil,PAIN,2
trifluridine tipiracil,PANCYTOPENIA,2
trifluridine tipiracil,POLYNEUROPATHY,2
trifluridine tipiracil,PRODUCT USE IN UNAPPROVED INDICATION,2
trifluridine tipiracil,PRURITUS,2
trifluridine tipiracil,RASH,2
trifluridine tipiracil,RESPIRATORY TRACT INFECTION,2
trifluridine tipiracil,STEVENS-JOHNSON SYNDROME,2
trifluridine tipiracil,TRANSAMINASES INCREASED,2
trifluridine tipiracil,UROGENITAL DISORDER,2
ipilimumab,DEATH,3537
ipilimumab,MALIGNANT NEOPLASM PROGRESSION,3368
ipilimumab,DIARRHOEA,2832
ipilimumab,COLITIS,2188
ipilimumab,PYREXIA,1841
ipilimumab,OFF LABEL USE,1641
ipilimumab,RASH,1576
ipilimumab,FATIGUE,1519
ipilimumab,INTENTIONAL PRODUCT USE ISSUE,1352
ipilimumab,NAUSEA,1201
ipilimumab,HYPOPHYSITIS,1015
ipilimumab,DECREASED APPETITE,964
ipilimumab,VOMITING,950
ipilimumab,DYSPNOEA,917
ipilimumab,PNEUMONITIS,857
ipilimumab,ADVERSE EVENT,855
ipilimumab,PNEUMONIA,840
ipilimumab,ADRENAL INSUFFICIENCY,813
ipilimumab,PRURITUS,790
ipilimumab,ACUTE KIDNEY INJURY,766
ipilimumab,HEADACHE,752
ipilimumab,HYPOTHYROIDISM,675
ipilimumab,DEHYDRATION,663
ipilimumab,IMMUNE-MEDIATED ENTEROCOLITIS,637
ipilimumab,ANAEMIA,630
ipilimumab,ASTHENIA,616
ipilimumab,MALAISE,607
ipilimumab,SEPSIS,598
ipilimumab,WEIGHT DECREASED,585
ipilimumab,HEPATITIS,527
ipilimumab,DRUG INEFFECTIVE,526
ipilimumab,GENERAL PHYSICAL HEALTH DETERIORATION,506
ipilimumab,HYPONATRAEMIA,504
ipilimumab,ARTHRALGIA,503
ipilimumab,ABDOMINAL PAIN,478
ipilimumab,LIVER DISORDER,467
ipilimumab,HEPATIC FUNCTION ABNORMAL,454
ipilimumab,HYPERTHYROIDISM,453
ipilimumab,HYPOTENSION,453
ipilimumab,PRODUCT USE IN UNAPPROVED INDICATION,428
ipilimumab,PRESCRIBED OVERDOSE,425
ipilimumab,INTERSTITIAL LUNG DISEASE,418
ipilimumab,ALANINE AMINOTRANSFERASE INCREASED,406
ipilimumab,ASPARTATE AMINOTRANSFERASE INCREASED,405
ipilimumab,MYOCARDITIS,403
ipilimumab,HYPOPITUITARISM,392
ipilimumab,CONSTIPATION,391
ipilimumab,PAIN,386
ipilimumab,PLEURAL EFFUSION,374
ipilimumab,COUGH,371
ipilimumab,AUTOIMMUNE HEPATITIS,363
ipilimumab,BACK PAIN,356
ipilimumab,THROMBOCYTOPENIA,335
ipilimumab,ENTEROCOLITIS,334
ipilimumab,IMMUNE-MEDIATED HEPATITIS,321
ipilimumab,PULMONARY EMBOLISM,320
ipilimumab,MUSCULAR WEAKNESS,310
ipilimumab,DIABETIC KETOACIDOSIS,304
ipilimumab,RENAL FAILURE,304
ipilimumab,DIZZINESS,292
ipilimumab,RESPIRATORY FAILURE,290
